# sample, total_reads, total_reads_mapped_to_reference, negative_binomial_mean_coverage, negative_binomial_coverage_dispersion
HiMid3t1_S1, 1823024, 1708347, 81.21651, 5.20374005049674
LoMid3t2_S1, 1292883, 1227488, 68.30176, 3.79207202787912
Hi3t2_S1, 1217496, 1146177, 58.84783, 3.53467398195814
Ancestor_S3, 1189914, 1126696, 66.27477, 4.07629326610876
Mid3t2_S1, 1316834, 1244373, 59.02035, 4.22056071910515
HiMid1t1_S1, 1435458, 1342183, 65.20804, 3.90169968797225
Ancestor_S1, 1316297, 1224441, 59.14808, 4.55287894651167
Mid4t1_S1, 1495014, 1405565, 69.72505, 5.00183490240351
Hi3t1_S1, 1577828, 1484175, 72.47514, 3.70731472253393
LoMid2t1_S1, 1584250, 1480919, 77.27014, 5.07430974927248
Lo3t1_S1, 1297966, 1223318, 64.03665, 4.50420510193863
Hi4t2_S1, 756600, 682087, 36.31844, 3.94359833070057
Mid1t1_S1, 1209733, 1138479, 57.11257, 4.43506155285944
Aggregate_NS001_Ancestors, 3982445, 3740291, 194.4733, 8.53695942505063
Lo1t1_S1, 1472022, 1379508, 69.95378, 4.4604236972048
LoMid3t1_S1, 1601081, 1526382, 81.17836, 4.89746923443285
Mid3t1_S1, 1879496, 1760353, 81.51185, 5.32311688008622
HiMid4t1_S1, 1064575, 989639, 51.42798, 4.22007305714211
LoMid4t1_S1, 1600263, 1512154, 71.868, 4.23448679053201
HiMid2t2_S1, 806155, 757150, 35.13049, 4.04937082106181
Hi4t1_S1, 1523663, 1422975, 70.47279, 4.85562838181629
Hi1t2_S1, 1079377, 1014293, 54.17106, 4.05094362257125
Lo2t2_S1, 1691926, 1600072, 82.95952, 5.1873876929662
LoMid1t1_S1, 1787006, 1684614, 88.01672, 5.00207704717371
Mid1t2_S1, 1375754, 1294398, 68.87596, 3.87533673846385
Mid2t2_S1, 1288539, 1205483, 62.10462, 3.93474297627902
HiMid3t2_S1, 1425362, 1352599, 70.08147, 4.93750853305601
HiMid4t2_S1, 1427041, 1339621, 68.96663, 4.66454126702512
HiMid1t2_S1, 1240604, 1159721, 62.13597, 4.18884100128096
Hi1t1_S1, 1245316, 1167933, 57.8366, 3.70588686632021
Ancestor_S2, 1476234, 1389590, 68.70688, 4.75583093128174
Lo4t1_S1, 1425253, 1337783, 67.04708, 4.30251085492209
Lo4t2_S1, 1589847, 1499297, 77.55281, 3.91476199227945
HiMid2t1_S1, 1485423, 1401275, 67.40026, 3.97641355914539
Hi2t2_S1, 1139429, 1078534, 57.79353, 3.60830318555506
Hi2t1_S1, 1641661, 1554415, 74.32644, 3.79510973390093
Lo2t1_S1, 1467515, 1375446, 71.17582, 4.64730002982373
LoMid1t2_S1, 1397677, 1312791, 67.75195, 4.01240809640851
Lo3t2_S1, 1455178, 1364357, 67.95181, 4.50886177001999
Mid4t2_S1, 1363363, 1278392, 63.43288, 3.89070768310934
Mid2t1_S1, 1507030, 1410590, 68.52975, 5.08539417073588
LoMid4t2_S1, 1794885, 1688898, 87.92088, 4.93439577065638
Lo1t2_S1, 1890220, 1769035, 82.37457, 4.89150911976084
LoMid2t2_S1, 1387301, 1303904, 69.39081, 4.04005118827419
